h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
891f1d48813ffff,684.7367,0,0,12,0,0,1,1,berlin,0.9241772967772968,1.0,99.98979383547663
891f1d4d6c3ffff,682.2226,0,0,15,1,0,2,1,berlin,0.9120833333333335,2.0,99.97958767095325
891f1d4830fffff,690.167,0,0,13,0,0,1,1,berlin,0.8999234487734488,3.0,99.96938150642988
891f1d48d83ffff,611.9927,0,0,6,0,0,2,1,berlin,0.89,4.0,99.95917534190652
891f1d4882fffff,682.27795,0,0,16,1,0,2,1,berlin,0.8820833333333334,5.0,99.94896917738313
891f1d4ab9bffff,582.7823,0,0,6,0,0,2,1,berlin,0.88,6.0,99.93876301285977
891f1d49dd3ffff,715.8524,0,2,26,0,0,2,1,berlin,0.86,7.0,99.9285568483364
891f1d4aa9bffff,698.14795,0,0,4,0,0,4,1,berlin,0.86,7.0,99.9285568483364
891f18b2207ffff,684.2306,0,1,12,0,0,1,1,berlin,0.8434956709956709,9.0,99.90814451928965
891f1d48ebbffff,684.97656,0,0,10,0,0,1,1,berlin,0.8141971380471381,10.0,99.89793835476628
891f1d4ab2bffff,750.58295,0,1,6,1,0,2,1,berlin,0.81,11.0,99.8877321902429
891f1d489cbffff,683.8647,1,0,24,0,1,0,1,berlin,0.8042857142857143,12.0,99.87752602571953
891f1d4b3d3ffff,639.4757,0,0,5,1,0,2,1,berlin,0.8,13.0,99.86731986119617
891f1d4f2d7ffff,749.54724,0,0,16,0,0,3,1,berlin,0.786984126984127,14.0,99.85711369667278
891f1d49dafffff,682.7567,0,0,10,0,0,1,1,berlin,0.7841971380471381,15.0,99.84690753214942
891f18b226fffff,699.91583,0,0,4,1,0,2,1,berlin,0.7833333333333334,16.0,99.83670136762605
891f1d48837ffff,686.0581,0,0,18,0,1,0,1,berlin,0.7832575757575758,17.0,99.82649520310268
891f18b2163ffff,767.06744,0,0,11,1,0,0,1,berlin,0.7816928278928279,18.0,99.8162890385793
891f1d48963ffff,685.2949,0,0,3,2,0,2,1,berlin,0.78,19.0,99.80608287405593
891f1d48017ffff,661.0917,1,0,2,1,0,0,1,berlin,0.7761542056074766,20.0,99.79587670953256
891f1d48b93ffff,686.70996,0,0,17,0,0,0,1,berlin,0.7758194041252865,21.0,99.78567054500918
891f1d48b13ffff,710.74646,0,0,15,0,0,5,1,berlin,0.7725,22.0,99.77546438048581
891f1d4d66bffff,698.7852,1,0,23,0,1,0,1,berlin,0.77,23.0,99.76525821596245
891f1d49d07ffff,728.2898,0,0,15,2,0,2,1,berlin,0.77,23.0,99.76525821596245
891f1d4d017ffff,744.8888,0,0,9,0,0,2,1,berlin,0.7665695526695526,25.0,99.7448458869157
891f1d49d33ffff,703.4624,1,0,19,0,0,3,1,berlin,0.765,26.0,99.73463972239233
891f1d4cadbffff,738.92096,0,0,5,0,0,2,1,berlin,0.7644856124267889,27.0,99.72443355786895
891f1d4d607ffff,633.07404,0,0,6,0,0,3,1,berlin,0.76,28.0,99.71422739334558
891f1d4b39bffff,594.69934,0,1,27,1,0,7,1,berlin,0.76,28.0,99.71422739334558
891f1d49b2bffff,783.6355,0,0,1,1,0,0,1,berlin,0.7593696514926817,30.0,99.69381506429883
891f1d48973ffff,685.8468,0,0,16,0,0,0,1,berlin,0.7513497071555895,31.0,99.68360889977546
891f1d4d0d7ffff,751.58624,0,1,7,1,0,0,1,berlin,0.7507142857142857,32.0,99.6734027352521
891f18b2533ffff,708.0564,1,0,18,0,1,1,1,berlin,0.7506666666666666,33.0,99.66319657072872
891f1d4ab47ffff,770.15796,1,0,8,0,0,0,1,berlin,0.7495528834594449,34.0,99.65299040620535
891f1d499cfffff,751.6531,0,2,10,0,0,0,1,berlin,0.7465683060109289,35.0,99.64278424168198
891f1d48b83ffff,686.7654,0,2,13,0,0,3,1,berlin,0.745,36.0,99.6325780771586
891f1d48c97ffff,749.73303,0,1,15,1,0,2,1,berlin,0.745,36.0,99.6325780771586
891f1d4d0afffff,743.39624,0,0,11,0,0,2,1,berlin,0.7437648459383754,38.0,99.61216574811186
891f18b3073ffff,757.90814,0,1,7,0,0,1,1,berlin,0.7433333333333333,39.0,99.60195958358848
891f1d48263ffff,746.0089,0,0,7,0,0,2,1,berlin,0.7420822510822511,40.0,99.59175341906511
891f18b052fffff,569.973,0,0,2,0,0,2,1,berlin,0.74,41.0,99.58154725454175
891f1d48367ffff,706.20807,0,1,5,4,0,1,1,berlin,0.74,41.0,99.58154725454175
891f18b25b3ffff,675.378,1,1,23,0,1,2,1,berlin,0.7392857142857143,43.0,99.561134925495
891f1d48823ffff,686.9337,0,0,23,1,0,0,1,berlin,0.7372467320261439,44.0,99.55092876097163
891f1d49963ffff,754.97546,0,0,4,1,0,2,1,berlin,0.7358333333333335,45.0,99.54072259644825
891f1d49b7bffff,756.369,0,0,8,1,0,1,1,berlin,0.7347416666666666,46.0,99.53051643192488
891f1d48c37ffff,687.8563,0,1,3,1,0,1,1,berlin,0.73,47.0,99.52031026740151
891f18b24b7ffff,646.6445,0,0,2,0,1,2,1,berlin,0.73,47.0,99.52031026740151
891f1d48a47ffff,722.24756,0,0,7,0,1,1,1,berlin,0.7245454545454545,49.0,99.49989793835476
891f1d4a1c3ffff,672.7605,2,1,10,0,0,5,1,berlin,0.72,50.0,99.4896917738314
891f18b2193ffff,725.6522,0,1,6,0,1,1,1,berlin,0.72,50.0,99.4896917738314
891f1d489d7ffff,720.301,0,0,15,0,0,1,1,berlin,0.7145547619047619,52.0,99.46927944478465
891f18b217bffff,770.3623,0,0,7,0,0,2,1,berlin,0.7137186147186148,53.0,99.45907328026128
891f1d48d77ffff,754.20764,2,0,3,1,0,0,1,berlin,0.71,54.0,99.44886711573791
891f1d4994bffff,795.2549,0,1,10,0,0,0,1,berlin,0.7069499798926029,55.0,99.43866095121453
891f1886913ffff,710.9071,0,4,5,0,0,0,1,berlin,0.7,56.0,99.42845478669116
891f1d4de07ffff,670.1709,0,0,5,0,0,2,1,berlin,0.6996428571428572,57.0,99.4182486221678
891f1d4ac8fffff,748.2346,0,0,6,0,0,2,1,berlin,0.6984379933791698,58.0,99.40804245764441
891f1d4dacfffff,724.3688,0,1,7,1,0,1,1,berlin,0.69,59.0,99.39783629312105
891f188680fffff,592.55804,0,1,1,2,0,0,1,berlin,0.6822222222222223,60.0,99.38763012859768
891f1d49837ffff,754.3524,0,1,11,2,0,4,1,berlin,0.68,61.0,99.3774239640743
891f18b2133ffff,753.3201,0,0,14,0,0,0,1,berlin,0.678415350350016,62.0,99.36721779955093
891f1d49d53ffff,740.4588,0,0,12,0,0,1,1,berlin,0.6730565252723791,63.0,99.35701163502756
891f1d48b8bffff,699.07324,2,0,10,0,0,2,1,berlin,0.6683333333333333,64.0,99.34680547050418
