h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
891fb46664bffff,3152.9084,1,0,26,0,0,5,1,paris,0.97,1.0,99.99645478072819
891fb4663afffff,3605.2627,1,0,25,0,0,8,1,paris,0.95,2.0,99.99290956145637
891fb467007ffff,4204.9434,0,0,32,0,0,2,1,paris,0.93,3.0,99.98936434218456
891fb46654fffff,4969.0806,4,0,25,0,0,6,1,paris,0.93,3.0,99.98936434218456
891f1d48813ffff,684.7367,0,0,12,0,0,1,1,berlin,0.9241772967772968,5.0,99.98227390364094
891fb4671abffff,3870.7964,0,5,15,0,0,3,1,paris,0.92,6.0,99.97872868436913
891fb4666b7ffff,5691.7676,0,0,14,0,0,2,1,paris,0.92,6.0,99.97872868436913
891fb466467ffff,5727.6104,3,0,17,0,0,3,1,paris,0.92,6.0,99.97872868436913
89194ad3347ffff,1898.673,0,0,21,0,0,0,1,london,0.9179151515151516,9.0,99.96809302655369
891fb4666c3ffff,3611.5469,0,0,29,0,0,4,1,paris,0.915735294117647,10.0,99.96454780728187
891fb4676a3ffff,3608.5662,0,0,30,0,0,2,1,paris,0.9125,11.0,99.96100258801007
891f1d4d6c3ffff,682.2226,0,0,15,1,0,2,1,berlin,0.9120833333333335,12.0,99.95745736873826
89194ad0c2bffff,298.30283,0,0,1,0,0,0,1,london,0.910561797752809,13.0,99.95391214946645
891fb4662bbffff,5011.882,4,0,29,0,0,6,1,paris,0.91,14.0,99.95036693019463
891fb467013ffff,5450.6836,2,0,26,0,0,2,1,paris,0.91,14.0,99.95036693019463
89194ad0317ffff,1541.1953,0,0,14,0,0,1,1,london,0.9059086580086579,16.0,99.943276491651
891fb467637ffff,3451.1555,1,0,16,0,0,4,1,paris,0.9016161616161616,17.0,99.93973127237919
89194ad76a3ffff,298.20447,0,0,1,0,0,0,1,london,0.900561797752809,18.0,99.93618605310739
891fb467017ffff,5653.083,0,0,14,0,0,3,1,paris,0.9,19.0,99.93264083383558
891fb46666bffff,4033.1655,0,0,33,0,0,2,1,paris,0.9,19.0,99.93264083383558
89194ad229bffff,74.22669,0,1,28,0,1,5,1,london,0.9,19.0,99.93264083383558
891f1d4830fffff,690.167,0,0,13,0,0,1,1,berlin,0.8999234487734488,22.0,99.92200517602014
891fb4670b7ffff,3220.148,1,0,24,0,0,4,1,paris,0.8977272727272728,23.0,99.91845995674832
89194ad1687ffff,1891.7327,0,0,17,1,0,0,1,london,0.895537323037323,24.0,99.91491473747651
891fb466067ffff,6267.5703,3,0,55,1,1,3,1,paris,0.89,25.0,99.9113695182047
891fb467193ffff,3588.9229,8,0,21,0,0,6,1,paris,0.89,25.0,99.9113695182047
891fb466267ffff,3141.3115,1,0,20,0,1,6,1,paris,0.89,25.0,99.9113695182047
891fb466443ffff,5356.1494,6,0,23,0,0,4,1,paris,0.89,25.0,99.9113695182047
891fb4675b3ffff,1983.7351,2,0,75,0,0,6,1,paris,0.89,25.0,99.9113695182047
891fb475bbbffff,3200.1084,1,0,19,0,0,6,1,paris,0.89,25.0,99.9113695182047
891f1d48d83ffff,611.9927,0,0,6,0,0,2,1,berlin,0.89,25.0,99.9113695182047
89194e69da7ffff,1929.173,0,0,19,0,0,0,1,london,0.8871558922558923,32.0,99.88655298330201
89194ad3657ffff,1020.08704,0,0,25,0,0,7,1,london,0.8825,33.0,99.88300776403021
891f1d4882fffff,682.27795,0,0,16,1,0,2,1,berlin,0.8820833333333334,34.0,99.8794625447584
891f1d4ab9bffff,582.7823,0,0,6,0,0,2,1,berlin,0.88,35.0,99.87591732548658
891fb46628bffff,5041.5557,2,3,64,0,0,5,1,paris,0.88,35.0,99.87591732548658
891fb46661bffff,3571.6697,1,0,46,1,0,1,1,paris,0.88,35.0,99.87591732548658
891fb464497ffff,5854.707,0,1,36,0,0,4,1,paris,0.88,35.0,99.87591732548658
891fb46638bffff,6360.9155,2,0,28,1,0,4,1,paris,0.88,35.0,99.87591732548658
891fb466053ffff,4979.1523,0,0,14,0,0,1,1,paris,0.87,40.0,99.85819122912753
89195d3627bffff,17.524021,0,0,9,0,0,0,1,london,0.8676315789473685,41.0,99.85464600985571
891fb46615bffff,3552.7908,2,0,25,0,0,4,1,paris,0.8627272727272728,42.0,99.8511007905839
891fb467583ffff,1418.0078,0,0,18,0,0,0,1,paris,0.8606735219691741,43.0,99.84755557131209
891fb466ec3ffff,5463.695,0,0,7,0,0,4,1,paris,0.86,44.0,99.84401035204027
891f1d49dd3ffff,715.8524,0,2,26,0,0,2,1,berlin,0.86,44.0,99.84401035204027
891f1d4aa9bffff,698.14795,0,0,4,0,0,4,1,berlin,0.86,44.0,99.84401035204027
891fb475b23ffff,1609.7593,0,3,30,0,0,4,1,paris,0.86,44.0,99.84401035204027
891fb4663d3ffff,7185.534,1,0,41,0,0,5,1,paris,0.86,44.0,99.84401035204027
89194ad327bffff,285.00516,0,0,9,0,0,0,1,london,0.8593588516746411,49.0,99.82628425568122
891fb464413ffff,3339.8096,0,0,17,0,0,4,1,paris,0.8584733893557422,50.0,99.8227390364094
891fb466647ffff,3573.812,0,0,24,0,0,6,1,paris,0.8580952380952381,51.0,99.81919381713759
891fb46712bffff,4568.4854,2,1,8,0,0,0,1,paris,0.852,52.0,99.81564859786577
89194ad70bbffff,517.3532,0,0,13,0,0,1,1,london,0.8511420634920634,53.0,99.81210337859396
891fb46750bffff,2252.3066,1,0,9,0,0,6,1,paris,0.85,54.0,99.80855815932216
